58191558927982,305,-38
274405605041767,-751,-30
142172941510240,-527,-22
66658631607933,-303,-34
92244429301323,-747,-18
167682140595793,-47,26
67085935765032,-543,-22
227137301702190,-879,-34
102028140013226,-623,10
13075465168437,-811,-34
178313122473587,-251,30
202315779597908,-351,-38
124476455839276,97,-30
79223438632491,-335,-14
11131598464563,-623,-34
186533581088307,-111,-38
146471690363253,-1007,10
76171822556762,-687,-22
39623476962868,-751,-18
139501711582724,-847,-38
54197610800670,-811,-34
91998752138777,129,-18
97268920804880,721,-38
30821866202859,-751,-38
131047271884520,677,-18
223672868857598,-783,-14
251192354465289,81,-22
215040354215441,-863,30
274240000812790,-587,30
195259515725339,-591,-22
118754758026771,-751,-22
215036808979986,-335,-22
225956925597403,-447,-22
4007696066210,-271,-30
185432792819414,-811,-34
12151318177533,225,-34
240702257161604,-747,14
49190510847653,-47,30
217153274046094,-875,30
117087000127213,-495,-22
43432041834141,-15,-22
43036771542661,-495,34
92974811637386,-955,14
27087966496396,-607,-22
201782444488041,-1007,10
30030266427009,-719,-34
204263357474513,-735,-34
10530342233750,-735,-22
114835497215850,689,-34
30052216534491,-1003,14
278219791591275,-591,-38
52595810428776,-795,-18
159438766401396,-479,-14
80344688420684,-651,-18
250946853201586,-347,30
234701916268410,-927,-22
251821053634211,-667,-34
167036584650260,-815,10
205365974722416,-319,14
154573703276230,689,-22
145057719838583,865,-18
247643932780401,-251,-18
54741858445131,337,-30
105988784973521,433,-18
38702664574784,-559,30
154011925931866,129,-22
52730090807515,-751,10
87814021637916,-847,-34
163351187351379,129,-22
277969702938240,-879,-22
61261664937732,913,-18
274760590616575,-687,14
266851795134261,-799,-22
103073542497937,-619,-18
216844948137975,-15,-22
141316408403775,49,-38
150827483588380,-271,-34
251406287038209,1025,-22
45546087966691,-527,10
153036572124914,-47,-22
235978850233327,-495,10
60458008504289,-523,-34
39742158071625,-735,-34
141142814681076,-207,-34
123243457079110,-79,-18
169996815099903,897,-22
233365142759029,-63,-34
15658102875965,-159,-38
6023302933601,-239,10
80989790726083,-575,-22
192606905755608,-363,-34
123243457079110,-79,-18
57124065568734,-559,-38
102452450486193,-843,-34
202079522583950,-491,14
137530366814160,-575,-14
233365142759029,-63,-34
102644674062129,-79,-14
62449404929941,113,-30
71683245533119,-639,10
83813883504519,-463,-38
175834442295120,-847,-18
136951648544695,-959,-18
62171634919200,-1007,-18
23544358954883,753,-34
153041629144768,-511,-34
79297042376642,241,-18
210335562785896,-527,-38
118641489274771,-171,30
197961844582299,-367,-34
87240986649683,-399,-14
227847082534010,-31,10
